视图,子视图,CPU配额,指标代码,tagK1,tagK2,tagV1,tagV2,图/表,难度
,,trans行情10日均值,transInsightAvgDealy_10Avg,,,,,,中等
,,trans行情当前延迟95%分位数,transInsightQuantileDelay,,,,,,困难
,,trans行情当前延迟中位数,transInsightMedianDelay,,,,,,困难
,行情异常情况,分钟k丢失、tick未更新,insightException," ""isJoinTag"": true",,,,,简单
系统监控-策略,"
各中心策略节点的实例情况",节点总数,algoNodeCount,,,,,,简单
,,在线节点,algoOnLineNodeCount,,,,,,简单
,,中心下策略类型,strategyTypeCount,,,,,,简单
,,中心下策略实例,algoStrategyIdCount,,,,,,简单
,,策略名称,strategyTypeList,,,,,,简单
,,可显示策略名称,strategyTypeToAlgoNodes,,,,,,简单
,,策略下策略实例,strategyTypeToStrategyIdCount,,,,,,简单
,,占据节点,strategyTypeToAlgoNodeCount,,,,,,简单
,,在线节点,strategyTypeToAlgoOnLineNodeCount,,,,,,简单
,,节点下策略类型,algoNodeToStrategyTypeCount,,,,,,简单
,,节点下策略实例,algoNodeToStrategyIdCount,,,,,,简单
,,当前状态,algoNodeStatus,,,,,,简单
,,数据类型（语言）,strategyTypeToLanguage,,,,,,简单
,各中心&各策略类型订单情况,正常订单,strategyOrder,center,,SH  / SZ /NJ,,,简单
,,废单,strategyReject,,,,,,简单
,,废单10日均值,strategyReject_10Avg,,,,,,中等
,各中心风控情况,风控信息,riskTrigger,center,,SH  / SZ /NJ,,,简单
系统监控-订单,OMS节点情况,节点状态,omsNodeOfflineTime,center,,SH  / SZ /NJ,,,简单
,各中心&各节点订单情况,订单总量,orderCount,,,,,,简单
,,已报待撤单,cancelCount,,,,,,简单
,,废单数,rejectCount,,,,,,简单
,,废单数 - 柱状图,nodeOrderCount,center,omsNode,,,图,简单
,,已报待撤单 - 柱状图,nodeCancelCount,,,,,,简单
,,其他订单 - 柱状图,nodeRejectCount,,,,,,简单
,OMS订单延迟情况,当前延迟,currentOrderDelay,securityExchange,center,"""深圳证券交易所""  2,上海证券交易所 ： 1",NJ / SH / SZ ,,简单
,,最大延迟,maxOrderDelay,,,,,,简单
,,平均延迟,dailyAvgOrderDelay,,,,,,中等
,,10日平均延迟 ,currentOrderDelay_10Avg,,,,,,中等
系统监控-柜台,柜台节点情况,节点状态,counterNodeOfflineTime,center,,SH  / SZ /NJ,,,简单
,各中心订单情况,订单总量,counterOrder,,,,,,简单
,,已报待撤单,counterPositiveOrder,,,,,,简单
,,废单,countRejectOrder,,,,,,简单
,各中心风控情况,风控信息,riskTrigger,,,,,,简单
,报盘吞吐量,报盘吞数据,throughPutCount,"""isJoinTag"": true",,,,,简单
,柜台及交易所延迟情况,柜台当前延迟,counterCurrentDelay,securityExchange,center,"""深圳证券交易所""  2,上海证券交易所 ： 1",NJ / SH / SZ ,,简单
,,柜台最大延迟,counterMaxDelay,,,,,,简单
,,柜台平均延迟,counterDailyAvgDelay,,,,,,中等
,,柜台十日均值,counterCurrentDelay_10Avg,,,,,,中等
,,交易所当前延迟,exchangeCurrentDelay,,,,,,简单
,,交易所最大延迟,exchangeMaxDelay,,,,,,简单
,,交易所平均延迟,exchangeDailyAvgDelay,,,,,,中等
,,交易所10日均值,exchangeCurrentDelay_10Avg,,,,,,中等
交易监控-交易主屏,近十分钟k线延迟,10分钟延迟,tickInsightDelayDistribution," ""samplingFrequency"": 0,
""isJoinTag"": true",,,,,中等
,,当前分钟延迟,tickInsightAvgDealy,,,,,,简单
,近10分钟trans延迟,10分钟延迟,transInsightDelayDistribution,,,,,,中等
,,当前分钟延迟,transInsightAvgDealy,,,,,,简单
,近10分钟order延迟,10分钟延迟,orderInsightDelayDistribution,,,,,,中等
,,当前分钟延迟,orderInsightAvgDealy,,,,,,简单
,近10分钟订单延迟,10分钟延迟,orderDelayDistribution,,,,,,中等
,,当前分钟延迟,currentOrderDelay,,,,,,简单
,交易主视图中间部分,策略名称 ,/api/strategy/queryXmasterStrategy     application/json 获取5个策略分类的子类名称,,,,,,简单
,,买入交易额,strategyBuyAmount,,,,,,简单
,,卖出交易额,strategySellAmount,,,,,,简单
,,买入/卖出平仓 | 买入/卖出开仓,tradeCount,,,,,,简单
,,撤单占比,strategyCommissionWithdrawalRatio,,,,,,简单
,,集群负载 ,cpuUtilization,,,,,,简单
,,行情连接,onlineStatus,,,,,,简单
,,节点数量,strategyGroupToAlgoNodeCount,,,,,,简单
,,在线节点,strategyGroupToAlgoOnLineNodeCount,,,,,,简单
,,策略实例--策略总数,strategyTypeToStrategyIdCount,,,,,,简单
,,策略实例--已暂停,strategyTypeToPauseStrategyIdCount,,,,,,简单
,,策略实例--未启动,strategyTypeToInitStrategyIdCount,,,,,,简单
,,策略实例--运行中,strategyTypeToRunStrategyIdCount,,,,,,简单
,,订单情况--废单|OMS,strategyReject,,,,,,简单
,,订单情况--废单|柜台,strategyCounterReject,,,,,,简单
,,订单情况--异常|OMS,strategyAbnormal,,,,,,简单
,,订单情况--异常|柜台,strategyCounterPartiallyFilledForCancel,,,,,,简单
,,订单情况--已报|OMS,strategyNew,,,,,,简单
,,订单情况--已成|OMS,strategyFilled,,,,,,简单
,,订单情况--部撤|OMS,strategyPartiallyCancel,,,,,,简单
,,订单情况--已撤|OMS,strategyCanceled,,,,,,简单
,账户监控,产品账户,productAccount ,,,,,,困难
,,资产账户,assetAccount,,,,,,
,,组合编号,portfolioNo,,,,,,
,,保证金比例,proportion,,,,,,
,,现金余额,holdingCash,,,,,,
,告警,告警分类监控,userId,,,,,,非指标
,,告警状态分布,userId,,,,,,非指标
,交易主视图顶部,现货交易额,orderAmount,center,,,,,简单
,,策略实例,algoStrategyIdCount,,,,,,简单
,,委托笔数,totalOrderCount,,,,,,简单
,,废单,allRejectCount,,,,,,简单
交易监控-盘前,策略版本,更新时间 / 策略版本 / 策略类型,/api/strategy/queryXmasterStrategy     application/json 获取更新时间 / 策略版本 / 策略类型,,,,,,简单
,各中心和各策略的节点和实例汇总情况,节点数量,algoOnLineNodeCount,,,,,,简单
,,实例数量,strategyTypeToStrategyIdCount,,,,,,简单
,,部署节点数量,strategyTypeDeploymentNodeCount,,,,,,简单
,,运行节点数量,strategyTypeToAlgoNodeCount,,,,,,简单
,,运行实例数量,strategyTypeToStrategyIdCount,,,,,,简单
,各中心与各策略的实例情况,已暂停,strategyTypeToPauseStrategyIdCount,,,,,,简单
,,未启动,strategyTypeToInitStrategyIdCount,,,,,,简单
,,运行中,strategyTypeToRunStrategyIdCount,,,,,,简单
,,实例总数,strategyTypeToStrategyIdCount,,,,,,简单
,,异常实例数 ,strategyTypeToUndefinedStrategyIdCount,,,,,,简单
,各中心、各策略和各节点的实例占比情况,节点总数,algoNodeCount,,,,,,简单
,,在线节点,algoOnLineNodeCount,,,,,,简单
,,中心下策略类型,strategyTypeCount,,,,,,简单
,,中心下策略实例,algoStrategyIdCount,,,,,,简单
,,策略名称,strategyTypeList,,,,,,简单
,,可显示策略名称,strategyTypeToAlgoNodes,,,,,,简单
,,策略下策略实例,strategyTypeToStrategyIdCount,,,,,,简单
,,占据节点,strategyTypeToAlgoNodeCount,,,,,,简单
,,在线节点,strategyTypeToAlgoOnLineNodeCount,,,,,,简单
,,节点下策略类型,algoNodeToStrategyTypeCount,,,,,,简单
,,节点下策略实例,algoNodeToStrategyIdCount,,,,,,简单
,,当前状态,algoNodeStatus,,,,,,简单
,,数据类型（语言）,strategyTypeToLanguage,,,,,,简单
,策略配置,指定账户下所有策略,userId,,,,,,简单
,,已选策略,/api/strategy/queryXmasterStrategy  无入参,,,,,,简单
交易监控-盘中,策略运行 - 各策略策略实例情况,实例总数,strategyTypeToStrategyIdCount,,,,,,简单
,,未启动实例数,strategyTypeToInitStrategyIdCount,,,,,,简单
,,已暂停实例数,strategyTypeToRunStrategyIdCount,,,,,,简单
,,已启动实例数,strategyTypeToPauseStrategyIdCount,,,,,,简单
,,异常实例数,strategyTypeToUndefinedStrategyIdCount,,,,,,简单
,,轮播时间,carouselTimeCount,,,,,,简单
,策略运行 -策略集群内存CPU情况,节点,ipSetList,,,,,,简单
,,策略名称,algoNodeToStrategyType,,,,,,简单
,,策略数量（以前的系统指标，需要看下是否可用）,algoNodeToStrategyTypeCount,,,,,,简单
,,内存配额,memoryQuota,,,,,,简单
,,内存当前占用情况,NodeVirtualMemUtilization,,,,,,简单
,,内存当天最大占用情况,NodeMaxVirtualMemUtilization,,,,,,简单
,,内存当天平均占用情况,NodeAvgVirtualMemUtilization,,,,,,简单
,,CPU配额,CPUQuota,,,,,,简单
,,cpu当前占用情况,NodeCpuUtilization,,,,,,简单
,,cpu当天平均占用情况,NodeAvgCpuUtilization,,,,,,简单
,,cpu当天最大占用情况,NodeMaxCpuUtilization,,,,,,简单
,,行情连接,onlineStatusDetail,,,,,,简单
,策略运行 -策略表现,策略名称,/api/strategy/queryXmasterStrategy,,,,,,简单
,,买入交易额,strategyBuyAmount,,,,,,简单
,,卖出交易额,strategySellAmount,,,,,,简单
,,买入卖出开平仓,tradeCount,,,,,,简单
,策略运行 -行情全链路延时,tick行情当前分钟,tickInsightAvgDealy,securityExchange,center,"""深圳证券交易所""  2,上海证券交易所 ： 1",NJ / SH / SZ ,图,简单
,,tick行情当日最大,tickInsightMaxDealy,,,,,,简单
,,tick行情到目前平均,tickInsightDailyDelay,,,,,,中等
,,tick行情当前10日均值,tickInsightAvgDealy_10Avg,,,,,,中等
,,tick行情当前延迟95%分位数,tickInsightQuantileDelay,,,,,,困难
,,tick行情当前延迟中位数,tickInsightMedianDelay,,,,,,困难
,,order行情当前分钟,orderInsightAvgDealy,,,,,,简单
,,order行情当日最大,orderInsightMaxDealy,,,,,,简单
,,order行情到目前平均,orderInsightDailyDelay,,,,,,中等
,,order行情当前10日均值,orderInsightAvgDealy_10Avg,,,,,,中等
,,order行情当前延迟95%分位数,orderInsightQuantileDelay,,,,,,困难
,,order行情当前延迟中位数,orderInsightMedianDelay,,,,,,困难
,,trans行情当前分钟,transInsightAvgDealy,,,,,,简单
,,trans行情当日最大,transInsightMaxDealy,,,,,,简单
,,trans行情到目前平均,transInsightDailyDelay,,,,,,中等
,,trans行情当前10日均值,transInsightAvgDealy_10Avg,,,,,,中等
,,trans行情当前延迟95%分位数,transInsightQuantileDelay,,,,,,困难
,,trans行情当前延迟中位数,transInsightMedianDelay,,,,,,困难
,订单情况-不同策略订单情况,oms废单,strategyReject,,,,,,简单
,,oms异常,strategyAbnormal,,,,,,简单
,,oms已报,strategyNew,,,,,,简单
,,oms部成,strategyPartiallyFilled,,,,,,简单
,,oms已撤,strategyCanceled,,,,,,简单
,,oms部撤,strategyPartiallyCancel,,,,,,简单
,,oms已成,strategyFilled,,,,,,简单
,,柜台废单,strategyCounterReject,,,,,,简单
,,柜台已报,strategyCounterNew,,,,,,简单
,,柜台已撤,strategyCounterCancel,,,,,,简单
,,柜台部撤,strategyCounterPartiallyCancel,,,,,,简单
,,柜台待撤,strategyCounterPendingCancel,,,,,,简单
,,柜台正报,strategyCounterReady,,,,,,简单
,,柜台待报,strategyCounterReadyForFill,,,,,,简单
,订单情况 - 订单耗时,当前延迟,currentOrderAndCounterDelay,,,,,,简单
,,最大值,maxOrderAndCounterDelay,,,,,,简单
,,平均值,dailyAvgOrderAndCounterDelay,,,,,,简单
